Voltage ; Angle ; Time ; Step
Voltage Value: 0.000000 ; Angle Value: 110.819672 ; Time Value Ms: 0.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 95.956284 ; Time Value Ms: 5.000000; Step: 0 
Voltage Value: 0.000000 ; Angle Value: 96.830605 ; Time Value Ms: 10.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 119.453552 ; Time Value Ms: 15.000000; Step: 1 
Voltage Value: 0.000000 ; Angle Value: 118.032784 ; Time Value Ms: 20.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 111.366119 ; Time Value Ms: 25.000000; Step: 2 
Voltage Value: 0.000000 ; Angle Value: 109.289619 ; Time Value Ms: 30.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 96.939888 ; Time Value Ms: 35.000000; Step: 3 
Voltage Value: 0.000000 ; Angle Value: 114.426231 ; Time Value Ms: 40.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 102.295082 ; Time Value Ms: 45.000000; Step: 4 
Voltage Value: 0.000000 ; Angle Value: 115.956284 ; Time Value Ms: 50.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 119.672134 ; Time Value Ms: 55.000000; Step: 5 
Voltage Value: 0.000000 ; Angle Value: 98.251366 ; Time Value Ms: 60.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 115.737701 ; Time Value Ms: 65.000000; Step: 6 
Voltage Value: 0.000000 ; Angle Value: 97.267761 ; Time Value Ms: 70.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 97.814209 ; Time Value Ms: 75.000000; Step: 7 
Voltage Value: 0.000000 ; Angle Value: 119.562843 ; Time Value Ms: 80.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 110.819672 ; Time Value Ms: 85.000000; Step: 8 
Voltage Value: 0.000000 ; Angle Value: 99.344261 ; Time Value Ms: 90.000000; Step: 9 
Voltage Value: 0.000000 ; Angle Value: 97.814209 ; Time Value Ms: 95.000000; Step: 9 
Voltage Value: 3.000000 ; Angle Value: 119.562843 ; Time Value Ms: 100.000000; Step: 10 
Voltage Value: 3.000000 ; Angle Value: 115.956284 ; Time Value Ms: 105.000000; Step: 10 
Voltage Value: 3.300000 ; Angle Value: 97.814209 ; Time Value Ms: 110.000000; Step: 11 
Voltage Value: 3.300000 ; Angle Value: 120.983604 ; Time Value Ms: 115.000000; Step: 11 
Voltage Value: 3.600000 ; Angle Value: 102.185791 ; Time Value Ms: 120.000000; Step: 12 
Voltage Value: 3.600000 ; Angle Value: 120.874313 ; Time Value Ms: 125.000000; Step: 12 
Voltage Value: 3.900000 ; Angle Value: 118.579231 ; Time Value Ms: 130.000000; Step: 13 
Voltage Value: 3.900000 ; Angle Value: 120.765030 ; Time Value Ms: 135.000000; Step: 13 
Voltage Value: 4.200000 ; Angle Value: 96.502731 ; Time Value Ms: 140.000000; Step: 14 
Voltage Value: 4.200000 ; Angle Value: 98.797813 ; Time Value Ms: 145.000000; Step: 14 
Voltage Value: 4.500000 ; Angle Value: 95.409836 ; Time Value Ms: 150.000000; Step: 15 
Voltage Value: 4.500000 ; Angle Value: 121.092896 ; Time Value Ms: 155.000000; Step: 15 
Voltage Value: 4.800000 ; Angle Value: 98.469948 ; Time Value Ms: 160.000000; Step: 16 
Voltage Value: 4.800000 ; Angle Value: 111.803276 ; Time Value Ms: 165.000000; Step: 16 
Voltage Value: 5.100000 ; Angle Value: 110.819672 ; Time Value Ms: 170.000000; Step: 17 
Voltage Value: 5.100000 ; Angle Value: 99.562843 ; Time Value Ms: 175.000000; Step: 17 
Voltage Value: 5.400000 ; Angle Value: 109.398911 ; Time Value Ms: 180.000000; Step: 18 
Voltage Value: 5.400000 ; Angle Value: 121.967216 ; Time Value Ms: 185.000000; Step: 18 
Voltage Value: 5.700000 ; Angle Value: 93.770493 ; Time Value Ms: 190.000000; Step: 19 
Voltage Value: 5.700000 ; Angle Value: 90.601089 ; Time Value Ms: 195.000000; Step: 19 
Voltage Value: 12.000000 ; Angle Value: 89.508194 ; Time Value Ms: 200.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 90.054642 ; Time Value Ms: 205.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 108.961746 ; Time Value Ms: 210.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 93.551910 ; Time Value Ms: 215.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 120.874313 ; Time Value Ms: 220.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 92.677597 ; Time Value Ms: 225.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 96.721313 ; Time Value Ms: 230.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 97.923500 ; Time Value Ms: 235.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 98.032784 ; Time Value Ms: 240.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 104.043716 ; Time Value Ms: 245.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 90.163933 ; Time Value Ms: 250.000000; Step: 25 
Voltage Value: 12.000000 ; Angle Value: 87.540985 ; Time Value Ms: 255.000000; Step: 25 
Voltage Value: 12.000000 ; Angle Value: 87.103828 ; Time Value Ms: 260.000000; Step: 26 
Voltage Value: 12.000000 ; Angle Value: 81.748634 ; Time Value Ms: 265.000000; Step: 26 
Voltage Value: 12.000000 ; Angle Value: 103.606560 ; Time Value Ms: 270.000000; Step: 27 
Voltage Value: 12.000000 ; Angle Value: 116.065575 ; Time Value Ms: 275.000000; Step: 27 
Voltage Value: 12.000000 ; Angle Value: 95.409836 ; Time Value Ms: 280.000000; Step: 28 
Voltage Value: 12.000000 ; Angle Value: 115.300545 ; Time Value Ms: 285.000000; Step: 28 
Voltage Value: 12.000000 ; Angle Value: 100.218582 ; Time Value Ms: 290.000000; Step: 29 
Voltage Value: 12.000000 ; Angle Value: 105.136612 ; Time Value Ms: 295.000000; Step: 29 
Voltage Value: 12.000000 ; Angle Value: 113.333336 ; Time Value Ms: 300.000000; Step: 30 
Voltage Value: 12.000000 ; Angle Value: 106.557381 ; Time Value Ms: 305.000000; Step: 30 
Voltage Value: 12.000000 ; Angle Value: 81.857925 ; Time Value Ms: 310.000000; Step: 31 
Voltage Value: 12.000000 ; Angle Value: 82.732239 ; Time Value Ms: 315.000000; Step: 31 
Voltage Value: 12.000000 ; Angle Value: 89.289619 ; Time Value Ms: 320.000000; Step: 32 
Voltage Value: 12.000000 ; Angle Value: 93.989075 ; Time Value Ms: 325.000000; Step: 32 
Voltage Value: 12.000000 ; Angle Value: 81.311478 ; Time Value Ms: 330.000000; Step: 33 
Voltage Value: 12.000000 ; Angle Value: 87.322403 ; Time Value Ms: 335.000000; Step: 33 
Voltage Value: 12.000000 ; Angle Value: 102.950821 ; Time Value Ms: 340.000000; Step: 34 
Voltage Value: 12.000000 ; Angle Value: 94.207649 ; Time Value Ms: 345.000000; Step: 34 
Voltage Value: 12.000000 ; Angle Value: 107.759560 ; Time Value Ms: 350.000000; Step: 35 
Voltage Value: 12.000000 ; Angle Value: 78.142075 ; Time Value Ms: 355.000000; Step: 35 
Voltage Value: 12.000000 ; Angle Value: 73.442619 ; Time Value Ms: 360.000000; Step: 36 
Voltage Value: 12.000000 ; Angle Value: 104.262299 ; Time Value Ms: 365.000000; Step: 36 
Voltage Value: 12.000000 ; Angle Value: 92.677597 ; Time Value Ms: 370.000000; Step: 37 
Voltage Value: 12.000000 ; Angle Value: 92.131149 ; Time Value Ms: 375.000000; Step: 37 
Voltage Value: 12.000000 ; Angle Value: 95.191254 ; Time Value Ms: 380.000000; Step: 38 
Voltage Value: 12.000000 ; Angle Value: 74.754097 ; Time Value Ms: 385.000000; Step: 38 
Voltage Value: 12.000000 ; Angle Value: 97.923500 ; Time Value Ms: 390.000000; Step: 39 
Voltage Value: 12.000000 ; Angle Value: 93.224045 ; Time Value Ms: 395.000000; Step: 39 
Voltage Value: 6.000000 ; Angle Value: 85.901642 ; Time Value Ms: 400.000000; Step: 40 
Voltage Value: 6.000000 ; Angle Value: 100.437157 ; Time Value Ms: 405.000000; Step: 40 
Voltage Value: 5.700000 ; Angle Value: 93.661201 ; Time Value Ms: 410.000000; Step: 41 
Voltage Value: 5.700000 ; Angle Value: 81.092896 ; Time Value Ms: 415.000000; Step: 41 
Voltage Value: 5.400000 ; Angle Value: 87.978142 ; Time Value Ms: 420.000000; Step: 42 
Voltage Value: 5.400000 ; Angle Value: 67.213112 ; Time Value Ms: 425.000000; Step: 42 
Voltage Value: 5.100000 ; Angle Value: 97.595627 ; Time Value Ms: 430.000000; Step: 43 
Voltage Value: 5.100000 ; Angle Value: 68.524590 ; Time Value Ms: 435.000000; Step: 43 
Voltage Value: 4.800000 ; Angle Value: 72.896172 ; Time Value Ms: 440.000000; Step: 44 
Voltage Value: 4.800000 ; Angle Value: 89.617485 ; Time Value Ms: 445.000000; Step: 44 
Voltage Value: 4.500000 ; Angle Value: 68.743172 ; Time Value Ms: 450.000000; Step: 45 
Voltage Value: 4.500000 ; Angle Value: 64.808746 ; Time Value Ms: 455.000000; Step: 45 
Voltage Value: 4.200000 ; Angle Value: 82.950821 ; Time Value Ms: 460.000000; Step: 46 
Voltage Value: 4.200000 ; Angle Value: 64.808746 ; Time Value Ms: 465.000000; Step: 46 
Voltage Value: 3.900000 ; Angle Value: 77.595627 ; Time Value Ms: 470.000000; Step: 47 
Voltage Value: 3.900000 ; Angle Value: 69.289619 ; Time Value Ms: 475.000000; Step: 47 
